iteration,x1,x2,f(x),gradient_norm,alpha,hessian_shift
1875,5.366007136570e-07,-7.067417527766e-03,2.495129655043e-09,1.773576768932e-06,1.000000000000e+00,0.000000000000e+00
1890,-5.366007136570e-07,-7.046325625080e-03,2.465480428919e-09,1.763558339434e-06,1.000000000000e+00,0.000000000000e+00
1905,5.366007136570e-07,-7.025421478337e-03,2.436356666984e-09,1.753720716424e-06,1.000000000000e+00,0.000000000000e+00
1920,-5.366007136570e-07,-7.004702318032e-03,2.407746024446e-09,1.744059951718e-06,1.000000000000e+00,0.000000000000e+00
1935,5.366007136570e-07,-6.984165431522e-03,2.379636516936e-09,1.734572200396e-06,1.000000000000e+00,0.000000000000e+00
1950,-5.366007136570e-07,-6.963808161532e-03,2.352016507956e-09,1.725253717558e-06,1.000000000000e+00,0.000000000000e+00
1965,5.366007136570e-07,-6.943627904714e-03,2.324874696832e-09,1.716100855215e-06,1.000000000000e+00,0.000000000000e+00
1980,-5.366007136570e-07,-6.923622110244e-03,2.298200107145e-09,1.707110059287e-06,1.000000000000e+00,0.000000000000e+00
1995,5.366007136570e-07,-6.903788278469e-03,2.271982075635e-09,1.698277866712e-06,1.000000000000e+00,0.000000000000e+00
2010,-5.366007136570e-07,-6.884123959596e-03,2.246210241539e-09,1.689600902664e-06,1.000000000000e+00,0.000000000000e+00
2025,5.366007136570e-07,-6.864626752418e-03,2.220874536348e-09,1.681075877867e-06,1.000000000000e+00,0.000000000000e+00
2040,-5.366007136570e-07,-6.845294303082e-03,2.195965173971e-09,1.672699586012e-06,1.000000000000e+00,0.000000000000e+00
2055,5.366007136570e-07,-6.826124303897e-03,2.171472641285e-09,1.664468901265e-06,1.000000000000e+00,0.000000000000e+00
2070,-5.366007136570e-07,-6.807114492176e-03,2.147387689042e-09,1.656380775855e-06,1.000000000000e+00,0.000000000000e+00
2085,5.366007136570e-07,-6.788262649113e-03,2.123701323140e-09,1.648432237765e-06,1.000000000000e+00,0.000000000000e+00
2100,-5.366007136570e-07,-6.769566598693e-03,2.100404796219e-09,1.640620388486e-06,1.000000000000e+00,0.000000000000e+00
2115,5.366007136570e-07,-6.751024206642e-03,2.077489599583e-09,1.632942400864e-06,1.000000000000e+00,0.000000000000e+00
2130,-5.366007136570e-07,-6.732633379397e-03,2.054947455431e-09,1.625395517011e-06,1.000000000000e+00,0.000000000000e+00
2145,5.366007136570e-07,-6.714392063117e-03,2.032770309372e-09,1.617977046298e-06,1.000000000000e+00,0.000000000000e+00
2160,-5.366007136570e-07,-6.696298242719e-03,2.010950323234e-09,1.610684363408e-06,1.000000000000e+00,0.000000000000e+00
2175,5.366007136570e-07,-6.678349940939e-03,1.989479868135e-09,1.603514906464e-06,1.000000000000e+00,0.000000000000e+00
2190,-5.366007136570e-07,-6.660545217429e-03,1.968351517808e-09,1.596466175212e-06,1.000000000000e+00,0.000000000000e+00
2205,5.366007136570e-07,-6.642882167872e-03,1.947558042183e-09,1.589535729273e-06,1.000000000000e+00,0.000000000000e+00
2220,-5.366007136570e-07,-6.625358923128e-03,1.927092401194e-09,1.582721186450e-06,1.000000000000e+00,0.000000000000e+00
2235,5.366007136570e-07,-6.607973648402e-03,1.906947738823e-09,1.576020221091e-06,1.000000000000e+00,0.000000000000e+00
2250,-5.366007136570e-07,-6.590724542437e-03,1.887117377352e-09,1.569430562510e-06,1.000000000000e+00,0.000000000000e+00
